Scenario,lambda,env.beta,seed,sigma2x,kappa,nsamp,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Default,-3,1.2,799980,1,0.05,100,13,216,correlationbias_uns,0.438788396,0.799066485,"1, 41, 61, 81, 121, 141, 161, 201, 221, 241, 281, 301, 361, 101, 321, 381","21, 61, 201, 321, 381, 1, 81, 121, 141, 181, 241, 281, 301, 341, 101, 161, 221, 261, 361, 41",58.92837,8
Default,-3,1.2,94802,1,0.05,100,8,215,structured,0.687858184,0.345670715,"21, 41, 81, 141, 221, 301, 381, 61, 201, 281, 361, 121","1, 61, 201, 241, 261, 21, 101, 161, 341, 381, 41, 81, 121",100.7067599,9
Default,-3,1.2,94802,1,0.05,100,8,215,unstructured,2.06476947,0.395553794,"41, 61, 121, 141, 221, 301, 381, 201, 361","1, 21, 81, 101, 161, 181, 241, 321, 341, 261",38.22718596,9
Default,-3,1.2,94802,1,0.05,100,8,215,joint,1.057021595,0.42096196,"41, 61, 141, 221, 301, 381, 201, 121, 361","1, 81, 101, 161, 181, 261, 321, 341, 21, 201, 281, 41, 121, 361",69.62898183,9
Default,-3,1.2,94802,1,0.05,100,8,215,unstructuredcov,4.542214481,0.679236778,"1, 61, 81, 161, 241, 321, 181, 201, 261, 281, 341, 381, 141, 221, 301","141, 221, 281, 301, 361, 381, 61, 41, 121, 201, 181, 261, 341",47.73172998,9
Default,-3,1.2,94802,1,0.05,100,8,215,jointcov,0.512311649,0.787513045,"1, 61, 81, 141, 161, 221, 241, 321, 381, 121, 181, 201, 261, 281, 341, 301","1, 41, 61, 81, 181, 201, 221, 261, 281, 301, 361, 21, 101, 121, 141, 381, 321",74.63726902,9
Default,-3,1.2,94802,1,0.05,100,8,215,covariate,0.66659341,0.432593419,"21, 41, 61, 81, 141, 221, 301, 381, 121, 201, 281, 361","221, 241, 1, 141, 341, 121",20.65018082,9
Default,-3,1.2,94802,1,0.05,100,8,215,covariatebias,0.662162328,0.417042051,"21, 41, 61, 81, 141, 221, 301, 381, 121, 201, 281, 361","41, 101, 161, 361, 1, 181, 241, 261",20.61517906,9
Default,-3,1.2,94802,1,0.05,100,8,215,correlation_str,0.596547135,0.57634896,"81, 141, 221, 181, 201, 261, 281, 121, 301, 361, 381, 41, 61",,63.6166389,9
Default,-3,1.2,94802,1,0.05,100,8,215,correlation_uns,1.065038625,0.403669803,"41, 61, 141, 221, 301, 381","1, 21, 81, 101, 181, 261, 341, 41, 121, 201, 281, 361",63.6166389,9
Default,-3,1.2,94802,1,0.05,100,8,215,correlationbias_str,0.537289093,0.712843512,"21, 41, 141, 221, 301, 381, 1, 61, 181, 201, 261, 281, 361","181, 261, 281, 21, 61, 101, 201, 241, 341, 361",74.49226093,9
Default,-3,1.2,94802,1,0.05,100,8,215,correlationbias_uns,0.563246147,0.752425725,"1, 61, 81, 141, 161, 221, 241, 321, 121, 181, 201, 261, 281, 341, 381, 301","21, 41, 181, 201, 221, 261, 281, 301, 341, 361, 1, 101, 141, 61, 121, 381",74.49226093,9
